# time  av_DeltaF  std_DeltaF
812500 5.01396 1.63195
815000 5.01474 1.63201
817500 5.01546 1.632
820000 5.0162 1.6321
822500 5.01691 1.63218
825000 5.0176 1.63228
827500 5.01822 1.6323
830000 5.0189 1.63246
832500 5.01948 1.63258
835000 5.02014 1.63266
837500 5.0208 1.6328
840000 5.02143 1.63297
842500 5.02203 1.63317
845000 5.02313 1.63342
847500 5.02414 1.63372
850000 5.0251 1.63398
852500 5.02608 1.6342
855000 5.02706 1.63442
857500 5.02799 1.63463
860000 5.02884 1.63488
862500 5.02978 1.63501
865000 5.03075 1.63532
867500 5.03168 1.63558
870000 5.03265 1.63592
872500 5.03353 1.63623
875000 5.03449 1.63653
877500 5.03539 1.63686
880000 5.03621 1.63714
882500 5.03713 1.63749
885000 5.03798 1.63774
887500 5.03887 1.63808
890000 5.03964 1.63853
892500 5.04043 1.63892
895000 5.04122 1.63929
897500 5.04211 1.63938
900000 5.0436 1.63854
902500 5.04512 1.63779
905000 5.04658 1.63712
907500 5.04806 1.63633
910000 5.04951 1.63575
912500 5.05095 1.63511
915000 5.05242 1.63448
917500 5.05384 1.6338
920000 5.05529 1.63324
922500 5.05658 1.63253
925000 5.05776 1.63184
927500 5.05891 1.63109
930000 5.06014 1.63054
932500 5.06129 1.62995
935000 5.06243 1.62936
937500 5.06362 1.62872
940000 5.06483 1.62813
942500 5.06596 1.62762
945000 5.06704 1.62698
947500 5.06822 1.62631
950000 5.06928 1.62582
952500 5.07046 1.62534
955000 5.07159 1.6248
957500 5.07262 1.62425
960000 5.0737 1.6237
962500 5.07472 1.62325
965000 5.07575 1.6227
967500 5.07682 1.62215
970000 5.07807 1.62135
972500 5.0795 1.62051
975000 5.08091 1.61956
977500 5.08234 1.61868
980000 5.0837 1.6177
982500 5.0851 1.61665
985000 5.08655 1.61575
987500 5.08791 1.61489
990000 5.08913 1.61404
992500 5.09017 1.61307
995000 5.09125 1.61214
997500 5.09237 1.61127
1e+06 5.09346 1.61054
