# time  av_DeltaF  std_DeltaF
832500 11.2409 4.83871
835000 11.2698 4.85238
837500 11.3 4.86847
840000 11.3264 4.88563
842500 11.3427 4.88811
845000 11.3591 4.89467
847500 11.3755 4.90718
850000 11.3919 4.92071
852500 11.4078 4.93762
855000 11.4254 4.95892
857500 11.4429 4.98136
860000 11.4602 5.00691
862500 11.4793 5.03541
865000 11.4977 5.0658
867500 11.5155 5.0999
870000 11.5326 5.13596
872500 11.5497 5.17382
875000 11.5667 5.21478
877500 11.583 5.25076
880000 11.5895 5.28107
882500 11.5955 5.3118
885000 11.6013 5.34618
887500 11.6073 5.38314
890000 11.6131 5.42183
892500 11.6216 5.45887
895000 11.6392 5.48129
897500 11.6466 5.4945
900000 11.6495 5.50495
902500 11.6546 5.51776
905000 11.6584 5.5328
907500 11.662 5.55102
910000 11.6481 5.54437
912500 11.6353 5.51589
915000 11.6148 5.47638
917500 11.5944 5.43758
920000 11.5748 5.40218
922500 11.546 5.37253
925000 11.5171 5.34709
927500 11.489 5.32674
930000 11.4617 5.30791
932500 11.4341 5.29496
935000 11.3956 5.26667
937500 11.3457 5.2257
940000 11.2982 5.1875
942500 11.2503 5.15422
945000 11.2012 5.1229
947500 11.1445 5.08639
950000 11.0875 5.05449
952500 11.0319 5.02704
955000 10.9722 4.99888
957500 10.9057 4.96836
960000 10.8408 4.94249
962500 10.777 4.91877
965000 10.7081 4.89233
967500 10.6334 4.86501
970000 10.5609 4.84341
972500 10.4882 4.82167
975000 10.4166 4.80427
977500 10.347 4.7899
980000 10.2816 4.77042
982500 10.2236 4.7456
985000 10.1736 4.71769
987500 10.124 4.69161
990000 10.065 4.65423
992500 10.0068 4.6188
995000 9.95941 4.57048
997500 9.91256 4.52448
1e+06 9.86412 4.482
