# time  av_DeltaF  std_DeltaF
797500 3.05652 0.386126
800000 3.05883 0.387653
802500 3.06115 0.389432
805000 3.06314 0.391731
807500 3.06524 0.394088
810000 3.06902 0.39439
812500 3.07289 0.394247
815000 3.07647 0.394292
817500 3.07996 0.394366
820000 3.08331 0.394391
822500 3.08657 0.394388
825000 3.0897 0.394408
827500 3.09278 0.394422
830000 3.0958 0.394454
832500 3.09883 0.394609
835000 3.10173 0.394767
837500 3.10458 0.394894
840000 3.10722 0.395238
842500 3.10974 0.395637
845000 3.11217 0.396097
847500 3.11448 0.396635
850000 3.11676 0.397216
852500 3.11885 0.397831
855000 3.12085 0.398657
857500 3.12278 0.399528
860000 3.12456 0.400502
862500 3.12632 0.401616
865000 3.12788 0.402818
867500 3.1294 0.404315
870000 3.13074 0.405852
872500 3.13186 0.407637
875000 3.13292 0.409645
877500 3.13397 0.411738
880000 3.13467 0.413839
882500 3.1353 0.416237
885000 3.13576 0.418876
887500 3.13616 0.421813
890000 3.13644 0.424852
892500 3.1368 0.428018
895000 3.13816 0.428568
897500 3.1392 0.429126
900000 3.14009 0.429905
902500 3.14105 0.430851
905000 3.14198 0.431887
907500 3.14265 0.433215
910000 3.14335 0.434239
912500 3.14546 0.433798
915000 3.14766 0.433074
917500 3.14984 0.432295
920000 3.15199 0.4315
922500 3.15393 0.430171
925000 3.15577 0.428866
927500 3.15759 0.427562
930000 3.15942 0.426236
932500 3.16113 0.424967
935000 3.16265 0.423595
937500 3.16402 0.422157
940000 3.16536 0.420721
942500 3.16657 0.41934
945000 3.16775 0.41802
947500 3.16873 0.41669
950000 3.16959 0.415325
952500 3.17043 0.414107
955000 3.17109 0.412882
957500 3.1715 0.41179
960000 3.17184 0.410713
962500 3.17213 0.409783
965000 3.1722 0.408868
967500 3.1722 0.408141
970000 3.1719 0.407439
972500 3.1716 0.406751
975000 3.17107 0.406336
977500 3.17058 0.405922
980000 3.17027 0.404987
982500 3.17027 0.403567
985000 3.1704 0.402412
987500 3.17052 0.401402
990000 3.17051 0.400563
992500 3.17043 0.39993
995000 3.17192 0.398938
997500 3.17337 0.397987
1e+06 3.17471 0.397026
