# time  av_DeltaF  std_DeltaF
907500 10.5506 5.02952
910000 10.538 5.02356
912500 10.5265 4.998
915000 10.5079 4.9624
917500 10.4894 4.92755
920000 10.4717 4.89573
922500 10.4456 4.86912
925000 10.4193 4.84624
927500 10.3939 4.82793
930000 10.3692 4.81103
932500 10.3443 4.79939
935000 10.3092 4.77371
937500 10.2641 4.73668
940000 10.221 4.70213
942500 10.1775 4.67196
945000 10.1331 4.6437
947500 10.0816 4.61074
950000 10.0301 4.58191
952500 9.97973 4.55704
955000 9.92559 4.53163
957500 9.86545 4.50398
960000 9.80666 4.48054
962500 9.74885 4.459
965000 9.68642 4.43512
967500 9.61878 4.41036
970000 9.55311 4.39069
972500 9.4873 4.37105
975000 9.42245 4.35523
977500 9.3594 4.34219
980000 9.30015 4.32447
982500 9.24759 4.30194
985000 9.20215 4.27664
987500 9.15718 4.25304
990000 9.10369 4.2192
992500 9.05098 4.18705
995000 9.0079 4.14329
997500 8.96532 4.1017
1e+06 8.92141 4.06324
